,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,label
0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0
3,0,0,1,0,0,1,1,0,0,1,1
4,0,0,1,0,1,1,0,1,1,0,1
6,0,0,1,0,0,0,0,0,0,0,0
8,1,1,0,1,0,1,1,1,0,0,0
10,1,0,1,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,1,0,0
13,1,0,1,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0
16,0,0,1,0,1,1,0,0,0,0,0
19,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0
23,1,1,0,0,0,1,1,0,1,0,1
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,0,0,0,0,0,0
28,1,1,0,0,0,1,1,0,1,0,0
30,1,1,0,1,1,0,0,0,0,1,1
32,0,0,0,0,0,0,0,1,0,0,1
33,0,0,0,0,0,0,0,0,0,0,1
34,0,0,1,0,1,0,0,0,1,1,1
38,1,0,1,0,1,1,0,0,1,1,1
39,0,0,1,0,0,0,0,0,0,0,0
40,1,1,0,0,1,0,0,0,1,1,1
42,1,0,0,0,0,0,0,0,1,0,0
43,1,0,0,0,1,0,0,0,1,1,1
44,1,0,1,0,0,0,0,0,1,1,0
45,1,0,1,0,1,1,1,0,1,1,0
46,0,0,0,0,0,0,1,0,0,0,0
48,1,0,0,0,0,1,1,1,1,0,1
49,1,1,1,1,1,0,0,0,1,1,0
51,0,0,1,0,0,0,1,1,0,0,1
53,1,0,1,1,1,1,0,0,1,1,1
54,1,0,1,0,1,1,0,0,1,1,1
55,0,0,0,1,0,0,0,0,0,0,0
56,1,1,1,0,1,1,0,0,1,1,1
60,0,0,1,0,0,0,0,0,0,0,0
61,1,1,1,0,0,0,0,0,0,0,1
62,1,0,0,0,1,0,0,0,0,1,0
66,0,1,1,0,0,0,0,0,0,1,0
68,1,0,0,0,1,0,0,0,1,1,1
70,0,1,0,1,1,0,1,1,0,1,1
72,0,0,1,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,0,1,0,1
75,0,0,0,0,0,0,0,0,0,0,1
76,1,0,0,0,0,0,0,0,0,1,0
77,0,0,1,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,0,0,0
80,0,1,0,0,0,0,0,0,0,1,1
81,0,0,0,0,0,0,1,0,0,0,0
82,1,1,1,1,1,0,0,0,0,1,1
83,1,0,0,0,0,1,1,1,1,1,1
84,1,0,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,1,0,0,0,0,1
86,1,1,0,0,0,0,0,0,0,1,0
88,0,0,0,0,1,0,0,0,0,1,0
89,0,0,0,0,0,0,0,0,1,0,0
90,1,0,0,0,0,0,0,0,0,0,0
93,1,1,1,1,1,1,1,1,0,1,1
95,0,0,0,0,0,0,0,0,0,1,0
98,1,1,1,1,1,0,0,0,1,1,1
99,0,0,0,0,0,0,0,0,0,1,1
100,1,1,0,0,1,0,1,0,1,1,0
101,1,0,0,0,0,0,0,0,0,0,0
103,1,0,0,0,1,1,0,0,1,0,0
105,0,0,0,0,0,0,0,0,1,1,0
106,1,0,0,0,0,0,0,0,0,0,0
107,1,1,0,0,0,0,0,0,0,1,0
108,0,0,0,0,0,0,0,0,0,1,0
109,1,1,1,1,1,0,0,0,1,1,1
110,1,1,1,1,1,0,0,0,0,1,1
111,0,0,0,0,0,0,0,0,0,1,1
112,0,0,0,0,0,0,0,0,0,1,0
113,0,1,1,0,0,0,0,0,0,1,0
114,0,1,0,0,1,0,0,0,0,0,0
115,1,1,1,0,0,1,1,1,0,1,0
116,0,0,0,0,0,0,0,0,1,0,0
117,1,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,1,0,0,0,1,1,1
119,0,0,0,0,1,0,1,1,0,1,1
120,0,0,0,0,1,0,0,0,0,0,0
